Title,Price,Bedrooms,Square Feet,Full Address,monthly,apartment,cats are OK - purrr,dogs are OK - wooof,laundry on site,air conditioning,off-street parking,EV charging,w/d in unit,carport,no smoking,attached garage,detached garage,laundry in bldg,Fee Needed To Apply,wheelchair accessible,no parking,furnished,street parking,no laundry on site,house,w/d hookups,date_added,latitude,longitude,nearest_budget_grocery_store_distance,nearest_budget_grocery_store,nearest_midTier_grocery_store_distance,nearest_midTier_grocery_store,nearest_premium_grocery_store_distance,nearest_premium_grocery_store
"Within a short distance to the campus, great location!","$3,360",1br,720.0,"4108 Del Rey Ave, Marina del Rey, CA 90292",1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,2024-05-31,33.98891589999999,-118.4443491,0.2903232522877552,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",0.32851980327339714,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",1.017899644724615,"Erewhon - 585 Venice Blvd., Venice"
"Rooftop Deck, Air Conditioning, New Construction","$3,250",1br,693.0,"11701 Gateway Blvd., Los Angeles, CA 90064",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.02849399999999,-118.443677,0.6616733869179222,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4793340312459953,"Trader Joe's - 11755 W Olympic Blvd, Los Angeles",0.5284057971493725,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Renovated Apartment 6 Blocks from the Beach!!! Bay on 6th,"$2,849",1br,672.0,None listed,1,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,,,,N/A,,N/A,,N/A
"1 bedroom, Central A/C and heat., Santa Monica CA","$4,095",1br,801.0,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31,34.0148949,-118.4965919,2.099804750655249,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.28386043758032004,"Trader Joe's - 500 Broadway, Santa Monica",1.244720372955476,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
"Central Air/Heating, Hardwood Floors*, Ceiling Fan*, Breakfast Bar","$2,235",1br,797.0,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0165601,-118.4233841,1.6085088103420697,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.8684957259971924,"Ralphs - 11361 National Blvd, Los Angeles",0.9299153995882329,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Assigned Parking, Beautiful Landscaping, Laundry Facility","$2,964",1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"One Place, Many Things, Pre-Leasing Now! Westwood Village","$2,571",1br,630.0,"415 Gayley Ave, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,2024-05-31,34.07017,-118.4544301,2.1744226287655324,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.8005558265452603,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.7546116911370452,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Controlled Access/Gated, Bike Racks, High Speed Internet","$3,375",1br,744.0,"10833 Wilshire Blvd, Los Angeles, CA 90024",1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.0599575,-118.4408673,1.6219727098472632,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.23066448067932793,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.3573312456019647,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
2 WEEKS FREE + Picnic Area with BBQ + Fridge + 1 Bedroom in Venice,"$2,450",1br,750.0,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,33.9981119,-118.4759566,0.6947884967646495,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.8429799546904776,"Ralphs - 910 Lincoln Blvd, Venice",0.40681252804423734,"Whole Foods Market - 225 Lincoln Blvd, Venice"
STUNNING LUXURY TOP FLOOR APARTMENT IN PRIME SANTA MONICA!,$3295.00,1br,,"933 6TH ST, SANTA MONICA, CA 90403",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0241346,-118.5002508,2.320481562886832,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.6146334892847969,"Vons - 1311 Wilshire Blvd, Santa Monica",0.6819373628328399,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
Available now! 1Bed plus 1Bath in Great Location In Santa Monica,$2495.00,1br,,"829 Ocean Park Blvd, Santa Monica, CA 90405",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0076737,-118.4756766,0.8169003945143991,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",1.011163421519735,"Ralphs - 910 Lincoln Blvd, Venice",0.5591548168808894,"Whole Foods Market - 225 Lincoln Blvd, Venice"
Seize the Savings: One Month FREE Rent on Available Units!,"$2,750",1br,693.0,"11400 Rochester Avenue, Los Angeles, CA 90025",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0483122,-118.4539033,0.8409247881480358,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.7885200149277635,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.8415531851178917,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
Live at Overland Avenue Apts 1 Bedroom + Vinyl Plank Flooring,"$1,950",1br,600.0,"3244 Overland Avenue, Palms, CA 90034",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0287074,-118.4139794,1.4592778669025663,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.1220954463903732,"Ralphs - 11361 National Blvd, Los Angeles",1.438879571460433,"Whole Foods Market - 11666 National Blvd, Los Angeles"
1 Bedroom 1 Bath in West Los Angeles ^ Remodeled ^ Parking,"$2,599",1br,750.0,"1342 Wellesley Avenue, West Los Angeles, CA 90025",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0407878,-118.4664544,0.13553879930583038,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.29112337434617463,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.36590355478933795,"Bristol Farms - 3105 Wilshire Blvd, Santa Monica"
1 Bedroom Suite in Westwood Village ~ Plank Floors ~ A/C ~ Furnished,"$4,125",1br,650.0,"1033 Hilgard Avenue, Los Angeles, CA 90024",1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-05-31,34.0607194,-118.4422418,1.6848822479804286,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.1384412490095186,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.2703436078232251,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
1 Bedroom in Beautiful Westwood * $500 Off * Extra Storage,"$2,785",1br,1000.0,"433 Kelton Avenue, Los Angeles, CA 90024",1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0692909,-118.4539407,2.123608524739189,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.7413462338175659,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.6888189758484459,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
1 Bedroom 1 Bath in Palms | 2 Weeks Free | Stainless Steel Appls,"$1,850",1br,550.0,"3258 Overland Avenue, Palms, CA 90034",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.028098,-118.4138161,1.4841858677911253,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.1252899473061033,"Ralphs - 11361 National Blvd, Los Angeles",1.4358825083872262,"Whole Foods Market - 11666 National Blvd, Los Angeles"
SPECIALS ^ 1 Bedroom 1 Bath in Westwood ^ Parking ^ Central A/C,"$2,695",1br,634.0,"520 Kelton Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0676797,-118.4532517,2.0291176114610407,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.6470173147354504,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.5762949311362707,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
Furnished Co-living in Westwood ^ Recently Renovated ^ Central A/C,"$1,750",1br,153.0,"1533 Selby Avenue, Los Angeles, CA 90024",1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2024-05-31,34.0546698,-118.4376468,1.245805662912148,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.6314633719544637,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.1875551222800293,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
Modern 1 Bedroom in West L.A/Close to Brentwood + Outdoor Lounges,"$2,813",1br,727.0,"11916 West Pico Blvd., West Los Angeles, CA 90064",1,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31,34.0298043,-118.4486693,0.7904210706390106,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.2676949310551013,"Trader Joe's - 11755 W Olympic Blvd, Los Angeles",0.7946014440809652,"Whole Foods Market - 11666 National Blvd, Los Angeles"
WESTWOOD 1 Bedroom 1 BA + Rooftop Deck + Fireplace + Balcony,"$2,650",1br,750.0,"10989 Rochester Avenue, Los Angeles, CA 90024",1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2024-05-31,34.0555797,-118.4453829,1.38245356993932,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.47131121006929905,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.31044255104784435,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"1 Bedroom in Westwood, Brand New Gym, Specials, Renovated","$3,395",1br,700.0,"870 Hilgard Avenue, Los Angeles, CA 90024",1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2024-05-31,34.0645792,-118.4404699,1.9374579202382138,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.20782372832115475,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.43782354905872684,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
1 Bedroom 1 Bath in West Los Angeles + Air Conditioning + Parking,"$2,650",1br,850.0,"1810 South Bentley Avenue, West Los Angeles, CA 91423",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0463984,-118.4415696,0.711583087284514,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.9019415283978094,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.4923092197729521,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
SS Appliances + 1 Bedroom 1 BA in West Los Angeles + Fully Renovated,"$2,599",1br,750.0,"1342 Wellesley Avenue, West Los Angeles, CA 90025",1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0407878,-118.4664544,0.13553879930583038,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.29112337434617463,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.36590355478933795,"Bristol Farms - 3105 Wilshire Blvd, Santa Monica"
"Westwood 1 Bedroom 1 Bath, Perfect for Students of UCLA, $500 Off!","$2,785",1br,1000.0,"433 Kelton Avenue, Los Angeles, CA 90024",1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0692909,-118.4539407,2.123608524739189,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.7413462338175659,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.6888189758484459,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
Westwood Village 1 Bedroom Suite + Furnished + Great Value!,"$4,125",1br,650.0,"1033 Hilgard Avenue, Los Angeles, CA 90024",1,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2024-05-31,34.0607194,-118.4422418,1.6848822479804286,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.1384412490095186,"Trader Joe's - 1000 Glendon Ave, Los Angeles",0.2703436078232251,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Community Grills, Breakfast Bar, On-site Laundry Facility, Dishwasher","$2,235",1br,797.0,"3516 Sawtelle, Los Angeles, CA 90066",1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0165601,-118.4233841,1.6085088103420697,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.8684957259971924,"Ralphs - 11361 National Blvd, Los Angeles",0.9299153995882329,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Beautiful Courtyard, Air Conditioning, Spacious Floor Plans","$3,250",1br,693.0,"11701 Gateway Blvd., Los Angeles, CA 90064",1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2024-05-31,34.02849399999999,-118.443677,0.6616733869179222,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.4793340312459953,"Trader Joe's - 11755 W Olympic Blvd, Los Angeles",0.5284057971493725,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Package Receiving, Cable Ready, Swimming Pool & Spa","$2,548",1br,850.0,"3420 Sepulveda Blvd, Los Angeles, CA 90034",1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0209372,-118.4228364,1.3753673968037625,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.6966364618523346,"Ralphs - 11361 National Blvd, Los Angeles",0.8727429765159235,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Emergency Maintenance, Hardwood-Inspired Floors, 1/bd 1/ba","$2,471",1br,382.0,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0183996,-118.4898922,1.915444945193366,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.23969491737893242,"Trader Joe's - 500 Broadway, Santa Monica",1.033751538368923,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
2 WEEKS FREE + Picnic Area with BBQ + Fridge + 1 Bedroom in Venice,"$2,450",1br,750.0,"237 Fourth Avenue, Venice, CA 90291",1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2024-05-31,33.9981119,-118.4759566,0.6947884967646495,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.8429799546904776,"Ralphs - 910 Lincoln Blvd, Venice",0.40681252804423734,"Whole Foods Market - 225 Lincoln Blvd, Venice"
"Great Location, Laundry Facility, Fireplace*, Wood-Style Flooring","$2,402",1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
Remodeled 1 Bedroom in Marina Del Rey | Balcony | Full Kitchen | A/C,"$2,695",1br,750.0,"415 Washington Boulevard, Venice, CA 90292",1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,33.9814954,-118.4631172,1.168258464330857,"Costco Loading Dock - 13463 Washington Blvd, Marina Del Rey",1.1554507042802473,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",0.5699740395339166,"Erewhon - 585 Venice Blvd., Venice"
Remodeled 1+1 in West Los Angeles**SPECIALS**Parking**Quartz Counters,"$2,250",1br,700.0,"4111 Mclaughlin Avenue, Los Angeles, CA 90066",1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0021072,-118.4198936,1.6515665294705808,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",1.8188557912583023,"Ralphs Fresh Fare - 4311 Lincoln Blvd, Marina Del Rey",1.7476155245782714,"Whole Foods Market - 11666 National Blvd, Los Angeles"
WEST LOS ANGELES 1 Bedroom 1 Bath + Fitness Center + Swimming Pool,"$2,408",1br,650.0,"3230 Overland Avenue, Culver City, CA 90034",1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0291156,-118.4141723,1.438614253363398,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.1161827996168483,"Ralphs - 11361 National Blvd, Los Angeles",1.4370715044658868,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Solar Photovoltaic System, Central A/C and heat., 1/BD","$4,095",1br,801.0,"210 Santa Monica Blvd, Santa Monica, CA 90401",1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,2024-05-31,34.0148949,-118.4965919,2.099804750655249,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.28386043758032004,"Trader Joe's - 500 Broadway, Santa Monica",1.244720372955476,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
1 Bed / 1 Bath. Convenient in-home washer and dryer included.,"$3,255",1br,516.0,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02226640000001,-118.4093348,1.898844591291373,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3979296779817754,"Ralphs - 11361 National Blvd, Los Angeles",1.6393680212492403,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Pet friendly community in Los Angeles. 1 BD / 1 BA. Call for tour!,"$3,275",1br,579.0,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02226640000001,-118.4093348,1.898844591291373,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3979296779817754,"Ralphs - 11361 National Blvd, Los Angeles",1.6393680212492403,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Simply breath-taking! Amazing views at The Roy,"$3,190",1br,544.0,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02226640000001,-118.4093348,1.898844591291373,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3979296779817754,"Ralphs - 11361 National Blvd, Los Angeles",1.6393680212492403,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Smoke Free, Laundry Facility, Cable Ready, Vaulted Ceiling","$2,677",1br,767.0,"535 Gayley Avenue, Westwood, CA 90024",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0692142,-118.4507019,2.1782263042537378,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",0.598282292539239,"Ralphs Fresh Fare - 10861 Weyburn Ave, Los Angeles",0.5951260875562286,"Whole Foods Market - 1050 Gayley Ave, Los Angeles"
"Private Balconies, Elfa Closet System","$2,471",1br,382.0,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0183996,-118.4898922,1.915444945193366,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.23969491737893242,"Trader Joe's - 500 Broadway, Santa Monica",1.033751538368923,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
"Gorgeous new construction! Get yourself a brand new 1 bed, 1 bath!","$3,525",1br,631.0,"3630 Overland Ave, Los Angeles, CA 90034",1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02276390000001,-118.4095784,1.869103946656898,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3781279930386157,"Ralphs - 11361 National Blvd, Los Angeles",1.625450064234588,"Whole Foods Market - 11666 National Blvd, Los Angeles"
Feel refreshed in our resort style swimming pool! 1 BD / 1 BA!,"$3,145",1br,525.0,"3644 Overland Ave, Los Angeles, CA 90034",1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,2024-05-31,34.02226640000001,-118.4093348,1.898844591291373,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",1.3979296779817754,"Ralphs - 11361 National Blvd, Los Angeles",1.6393680212492403,"Whole Foods Market - 11666 National Blvd, Los Angeles"
"Natural Gas Range/Oven, Central HVAC, Laundry Room, Disposal","$2,231",1br,647.0,"12427 W Jefferson Blvd, Los Angeles, CA 90066",1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2024-05-31,33.981011,-118.410259,2.2249868086124787,"Costco Wholesale - 13463 Washington Blvd, Marina Del Rey",1.647324361888129,"Ralphs Fresh Fare - 4700 Admiralty Way, Marina Del Rey",3.029643835951993,"Erewhon - 585 Venice Blvd., Venice"
"Lofts*, Assigned Parking, Breakfast Bar*, Fully Equipped Kitchens","$2,402",1br,664.0,"1920 Sawtelle Ave, Los Angeles, CA 90025",1,1,1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2024-05-31,34.0422605,-118.4444631,0.5525237502951821,"Smart & Final Extra! - 11221 W Pico Blvd, Los Angeles",0.5717313158220909,"Ralphs Fresh Fare - 11727 W Olympic Blvd, Los Angeles",0.8061002753658811,"Bristol Farms - 1515 Westwood Blvd, Los Angeles"
"Resort-style heated pool, Mirrored oversized closets, Balcony or patio","$2,706",1br,634.0,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0638641,-118.4692654,1.6855062011842188,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",1.3114778956195163,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.7156669290325806,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
"Private Balconies, Elevator Access, Controlled Access","$2,471",1br,382.0,"1447 Lincoln Blvd, Santa Monica, CA 90401",1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0183996,-118.4898922,1.915444945193366,"Smart & Final Extra! - 604 Lincoln Blvd, Venice",0.23969491737893242,"Trader Joe's - 500 Broadway, Santa Monica",1.033751538368923,"Whole Foods Market - 1425 Montana Ave, Santa Monica"
"24-Hour cardio fitness center, Ceiling fan in the dining area","$3,247",1br,774.0,"233 South Barrington Avenue, Los Angeles, CA 90049",1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2024-05-31,34.0638641,-118.4692654,1.6855062011842188,"Smart & Final - 12210 Santa Monica Blvd W, Los Angeles",1.3114778956195163,"Ralphs Fresh Fare - 12057 Wilshire Blvd, Los Angeles",0.7156669290325806,"Whole Foods Market - 11737 San Vicente Blvd, Los Angeles"
